partition,pca_1,pca_2,kmeans_segment,gmm_segment
train,-1.5491233045779325,0.008882395366874449,1,2
train,-0.22561829857744428,2.4682050135809197,4,7
train,0.12365811634732911,-0.21308065580685703,3,6
train,1.4441549125395132,-0.004208329090162682,3,3
train,0.5739152301724912,-0.7490806706201611,3,6
train,-2.3019179583545046,0.7445559499165387,1,2
train,2.1805635675901196,-0.2449214501645328,0,0
train,-1.614248722329707,0.6177229954010599,1,2
train,0.9349857856071306,0.1704794228428526,3,1
train,1.7000591517134302,0.2637618288081228,0,0
train,-0.8274775524000334,0.8175387077552448,4,5
train,-0.1582567790390055,0.09058694335482496,3,6
train,-0.7496440806795867,-0.08236132266937693,1,6
train,1.2499719202403865,-0.6931930619075074,2,1
train,0.33882734014176996,-0.6527544663199075,3,6
train,1.7256304176666093,-0.013376380622644856,0,0
train,-2.3246235734947134,0.7296193725787775,1,7
train,-0.6290133692090301,-0.29547814865036365,1,6
train,-0.6373372974637413,0.11578676130606326,1,6
train,-1.1445320572682391,0.3683038490420244,1,6
train,0.540825539325947,-0.5898803076617873,3,6
train,-0.7635521803226936,0.746520091186993,4,5
train,-2.234497917862632,0.3502661006866852,1,2
train,0.5259611489016343,-0.136927514298982,3,0
train,1.3872662069683284,0.2430449639544345,3,3
train,-0.15566373722205454,0.6460047160994862,4,5
train,-1.1654854560376582,-0.11432308262406633,1,2
train,-0.9148686978886937,0.8797184474625294,4,7
train,0.4595838748469355,-1.078953360024866,3,6
train,0.7631428114578521,-0.4958845066598837,3,6
train,0.3123270005812314,-0.18280474222375442,3,7
train,0.1205043722128845,-0.28061245785338607,3,6
train,-0.32382976354269183,-0.18732095630958154,3,2
train,0.9140570839704281,-0.25871983379249697,4,0
train,-0.5575142190384008,-0.39748755998202556,1,2
train,2.615135908373174,-0.3085123858750916,0,0
train,-0.15047552995269656,-0.2746244865599981,3,6
train,-1.9884294374285225,0.30271614155552623,1,2
train,-0.9017659998117069,0.7938250701470425,4,5
train,-1.8250342450345145,0.7512703258186244,1,2
train,1.1930355552132992,0.22363359470356178,3,4
train,-2.1176017687075017,0.41379037079312697,1,2
train,3.1268770252833185,-0.18412091100796069,0,4
train,-1.4543443741375897,0.04474155935374162,1,2
train,0.3864653455947286,-1.1444790824970674,3,1
train,3.245646518290294,-0.1578111452171253,3,4
train,-1.090806086661087,-0.04457652769445704,1,2
train,0.5935251257984931,-0.7705305096102153,0,1
train,-2.0208378323673406,0.3615535691656463,1,2
train,0.07961673492801556,-0.2832572552019146,2,6
train,-0.6507846668681636,-0.38726526310783155,1,2
train,1.0070129348403076,-0.7627897493728374,3,0
train,-1.4627657778639123,-0.013313983167073065,1,2
train,0.33741823387620873,0.0328220773616051,3,7
train,-0.5464397497639465,-0.14509206198621372,1,6
train,0.6626703716673117,-0.39052660667135297,3,1
train,-0.8802680916513129,-0.023845286271002256,1,7
train,1.0281257273585138,-0.8282802858462022,3,0
train,-0.7154028316805511,0.5352322392650833,1,6
train,0.24232811066808208,0.3536335702385654,4,6
train,-1.4042999139855659,0.21758070320449563,1,2
train,0.052360505843818114,-0.46630209203845596,3,6
train,-1.7003089325466998,1.105017563617651,4,5
train,-0.24329780627954745,-0.47306888684672976,3,6
train,-0.18994747186846897,-0.44355357977840565,0,1
train,0.9395976227537814,-0.4753448616191615,0,0
train,0.579395594714171,-0.596452650460843,0,0
train,-1.5398223780678844,0.1468959068258306,1,2
train,-1.7185165554857964,0.16124705424347643,1,2
train,-0.7080019276301723,0.20997613915755012,4,7
train,-1.5326918512590872,0.08778630687996357,1,2
train,0.810140654255095,-0.16532631632971798,4,6
train,-0.28208692613125097,-0.5410395713330636,3,6
train,1.2114087957990252,-0.16799249313264347,4,6
